iso3,pa_land_area,pa_marine_area,land_area,marine_area,percentage_pa_land_cover,percentage_pa_marine_cover,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
COD,324289.6789,31.363659,2344275.114,13265.40707,13.83326031,0.236431938,31.36366,158805.5811,100.0000032,48.97028536
COG,140031.6065,1280.313272,343736.7395,39863.59306,40.73803886,3.211735756,1197.465,33631.09748,93.52906247,24.01679044
COK,67.100582,1981949.229,258.141911,1972842.358,25.99367989,100.4616117,0,0,0,0
COL,169544.5157,124670.6807,1145032.899,730741.8263,14.80695584,17.06083821,32065.62,132998.5605,25.72025741,78.44462555
COM,172.688456,37.464378,1701.123719,165505.135,10.15143426,0.022636384,0,0,0,0
CPV,120.123431,5.423162,4148.996795,801065.1343,2.89524039,0.000676994,0,102.417916,0,85.26056503
CRI,14608.17371,15061.6931,51636.14199,576110.183,28.29059869,2.614377171,4443.43,10510.76419,29.50153061,71.95125414
CUB,18480.57139,15818.76605,111643.2783,365755.7493,16.55323246,4.324953491,0,0,0,0
CUW,71.009581,11.656382,450.975385,30535.00449,15.74577757,0.038173834,0,0,0,0
CXR,87.649012,0.753516,142.416955,330035.5,61.54394468,0.000228314,0,0,0,0
CYM,31.133127,92.901287,289.266866,119605.4547,10.76276984,0.077673119,0,0,0,0
CYP,3386.076946,120.958963,9063.433945,98279.50173,37.35975753,0.123076492,0.045238,1157.122558,0.037399461,34.17295521
CZE,17265.28518,0,77916.89786,0,22.15858903,0,0,7498.753014,0,43.4325465
DEU,135401.4928,25562.51049,357584.3854,56357.93768,37.86560554,45.35742708,8265.144,2011.829926,32.33306839,1.485825513
DJI,343.960179,11.802761,21843.65212,7031.12303,1.57464593,0.167864521,0,0,0,0
DMA,168.469169,10.012306,766.22784,28749.1828,21.98682431,0.034826402,0,67.392445,0,40.00283577
DNK,8318.121999,17932.88012,45314.39778,100469.7507,18.35646595,17.84903415,4092.992,2953.217551,22.82395227,35.50341713
DOM,12727.39737,48625.33917,48509.80547,270774.1738,26.23675203,17.95789402,1471.49,7154.422034,3.026179406,56.21276547
DZA,174218.6183,110.267218,2324458.588,128992.9935,7.495019239,0.085483106,0,144306.4858,0,82.83069119
ECU,55980.13776,144125.4431,258138.6687,1079901.071,21.68607208,13.34617096,139291.1,48203.62096,96.64573932,86.10843576
EGY,129389.8156,11715.81678,984997.4881,236612.0565,13.13605538,4.951487659,11046.3,76110.32685,94.2853598,58.822502
ERI,5936.248417,0,121834.4031,0,4.872390938,0,0,0,0,0
ESH,15269.89945,3709.987384,268339.2162,252024.2549,5.690521001,1.472075529,0,0,0,0
ESP,142393.4623,84225.04305,507013.405,1005717.296,28.08475297,8.374624099,656.657,13573.6003,0.779645787,9.532460323
EST,9211.085571,6767.85611,45416.48284,36346.36825,20.28137142,18.62044665,1158.203,3256.848705,17.11329232,35.35792475
ETH,200073.9753,0,1135429.227,0,17.62099923,0,0,34834.27392,0,17.41069715
FIN,44785.69749,8352.242381,337725.5344,79467.83379,13.26097464,10.51021776,3011.53,27574.25829,36.05654461,61.56933985
FJI,1036.512388,11959.01476,19154.95614,1293034.72,5.411196874,0.924879632,111.4347,11.103878,0.931805021,1.071273062
FLK,61.100176,52.093517,12400.947,549091.6441,0.492705727,0.009487217,0,0,0,0
FRA,142640.6248,154901.8964,548954.0701,343866.3878,25.98407273,45.04711771,113.2308,4994.572407,0.073098395,3.501507662
FRO,33.786873,28.889108,1450.644909,266720.4336,2.329093274,0.010831232,0,0,0,0
FSM,0.401738,475.050992,817.158681,3011916.98,0.049162789,0.01577238,0,0,0,0
GAB,59707.74205,55720.61869,266044.6066,193292.3301,22.44275605,28.82712349,1408.688,28707.11162,2.52812699,48.07937904
GBR,70364.52325,208871.0228,245247.5873,723404.7034,28.69121936,28.87332939,128437.3,27462.93862,61.49120077,39.02952418
GEO,5831.181959,152.96289,69971.96837,22907.00911,8.333597146,0.667755835,152.9619,4920.293085,99.99935278,84.37900103
GGY,3.42847,33.480134,85.559741,8672.655691,4.007106567,0.386042467,0,0,0,0
GHA,36153.44517,220.877347,240329.9832,226758.5827,15.04325207,0.097406389,218.29,2627.975725,98.82860464,7.268949646
GIB,0.350582,54.748777,7.483277,426.745945,4.684872683,12.8293608,0,0,0,0
GIN,87841.77901,583.248819,246426.8074,110136.2872,35.64619447,0.529570075,450.561,14861.02776,77.25022072,16.91794944
GLP,1170.201833,90957.91428,1678.541217,91039.08888,69.71540652,99.91083544,0,0,0,0
GMB,441.86625,15.848759,10757.9084,22745.53308,4.107362078,0.069678556,15.84876,439.347997,100.0000063,99.43008705
GNB,5667.921785,10660.72491,34015.72123,106506.6285,16.66265356,10.00944736,2108.863,2195.713469,19.78160976,38.73930432
GNQ,5228.231142,729.714996,27136.01782,310365.4119,19.26675895,0.235114793,6.850682,3123.690636,0.938816118,59.74660552
GRC,46842.05403,22326.02504,133012.2689,494172.4508,35.21634088,4.517861125,408.343,1857.398301,1.829000009,3.965236665
GRD,36.525372,22.668297,373.565244,26281.5155,9.777508102,0.086251864,0.224225,9.543075,0.989156795,26.1272493
GRL,885647.6174,102325.3573,2154016.464,2264467.117,41.11610251,4.518738935,402.1399,5749.926976,0.393001218,0.649234172
GTM,22038.64399,1065.193983,109922.2585,118336.3927,20.04930056,0.900140657,1026.827,11453.61015,96.39812244,51.97057566
GUF,44030.25688,1365.477582,83034.50925,136563.8487,53.02645524,0.999882176,0,20378.74318,0,46.28349826
GUM,126.105991,18.36469,561.240901,202535.0554,22.46913772,0.009067413,0,0,0,0
GUY,18453.5957,17.404509,211200.2683,136909.9886,8.737486868,0.012712373,17.40451,14712.79354,100.0000057,79.72860019
HKG,461.758922,77.63466,1102.47934,0,41.88368029,0,0,0,0,0
HMD,391.198904,70453.52882,391.198904,416110.9534,100,16.93142856,6050.48,391.198904,8.587901985,100
HND,27060.29625,9144.343173,113291.4823,219971.1738,23.88555229,4.157064317,505.2118,17848.42983,5.524856083,65.95799863
HRV,21752.31666,4737.056345,56855.88522,55462.35822,38.25868962,8.541029442,383.4913,4710.295613,8.095561295,21.6542251
HTI,534.077665,0,27390.24191,0,1.94988298,0,0,214.416118,0,40.1469921
HUN,21049.06124,0,93142.45067,0,22.598784,0,0,761.419935,0,3.617358164
IDN,231945.6876,181848.1746,1906555.047,5947954.167,12.16569581,3.057323064,4776.107,135466.5054,2.626425594,58.40440786
IMN,31.751404,419.422876,582.226592,0,5.45344449,0,0,0,0,0
IND,182646.7039,3928.327395,3061193.496,2301226.499,5.966519403,0.170705813,1415.361,101826.7364,36.02960898,55.75065645
IOT,68.952846,642270.8732,68.952846,642744.6863,100,99.92628284,0,0,0,0
IRL,10125.44075,9945.099192,70128.37704,426441.7422,14.43843587,2.332112035,85.63199,115.16912,0.861047118,1.137423278
IRN,140225.7781,1808.644138,1627857.17,224800.6295,8.614132779,0.804554748,1150.567,13309.78741,63.61489117,9.491683765
IRQ,6713.746023,0,437830.5052,0,1.533412118,0,0,1377.958757,0,20.52443974
ISL,18571.902,2863.10312,102301.7663,752783.5116,18.15403846,0.380335525,31.66475,660.869357,1.105959118,3.558436594
ISR,4180.414799,9.067342,20958.0329,27855.0403,19.94659908,0.03255189,0,0,0,0
ITA,64904.81993,47394.46738,301335.3097,538880.953,21.53906888,8.794979135,323.4002,4313.251668,0.682358549,6.645502865
JAM,1760.198539,1859.991697,11058.94539,246488.4991,15.91651352,0.754595733,1857.765,1382.157305,99.88028457,78.52280719
JEY,22.230736,185.03376,125.218467,2962.105951,17.75356026,6.246696204,0,0,0,0
JOR,2773.578439,33.455456,89689.84024,93.665949,3.092410948,35.71784235,0,1110.121003,0,40.02486418
JPN,109936.665,332694.3839,374092.7945,4040612.297,29.38753876,8.233761604,0,0,0,0
KAZ,90083.03007,1249.454686,2719827.869,119085.0237,3.312085705,1.049212275,0,19251.39769,0,21.37072618
KEN,72544.60101,903.902773,586770.0015,112400.4482,12.36337932,0.804180755,82.85387,30070.46761,9.166236953,41.45100696
KGZ,13402.50539,0,199957.0236,0,6.702692985,0,0,1304.758795,0,9.735185751
KHM,47503.40661,89.107039,182510.8526,47966.8519,26.02771612,0.185767953,83.4878,38597.11149,93.69383265,81.25124964
KIR,230.885727,408796.5464,1032.564654,3459130.413,22.36041357,11.81789923,408247.4,84.15276,99.86566756,36.44779653
KNA,62.014371,17.436922,270.825058,10262.9088,22.89831357,0.169902338,0,0,0,0
KOR,11637.6153,5309.233026,99712.88376,324993.7978,11.671125,1.633641338,2974.727,5908.943245,56.02931695,50.77451945
KWT,3048.243171,175.974631,17417.87587,11895.81218,17.50065963,1.479299004,0.803143,325.01945,0.456397036,10.66251712
LAO,38581.9612,0,231276.1399,0,16.68220562,0,0,0,0,0
LBN,268.277274,40.839545,10329.04876,19315.84107,2.597308622,0.211430322,0,160.942124,0,59.99096442
LBR,3914.960978,256.049624,96634.42399,247767.6811,4.051310927,0.103342624,251.8134,2410.410591,98.34554571,61.56921115
LBY,3437.476191,2277.750889,1622615.431,357895.3125,0.211847868,0.636429372,0,0,0,0
LCA,116.653527,34.007036,622.311137,15560.30791,18.7452096,0.218549891,3.375011,16.034291,9.924449164,13.74522607
LIE,70.47938,0,167.064349,0,42.18696593,0,0,17.90587,0,25.40582792
LKA,19897.4988,398.564426,66631.50337,534085.0497,29.8619989,0.074625647,0,633.838902,0,3.185520493
LSO,79.710462,0,30494.99377,0,0.261388681,0,0,106.28689,0,100
LTU,11020.11574,1567.706297,64696.51583,6125.653875,17.03355367,25.59247272,197.267,862.575852,12.58316053,7.827284867
LUX,1332.387111,0,2603.081524,0,51.18499358,0,0,487.74825,0,36.60709759
LVA,11720.8467,4631.301701,64501.94768,28879.55287,18.17130664,16.03661152,88.09823,689.650057,1.902234743,5.883961069
MAF,7.609068,1030.536085,59.578286,1068.741983,12.77154566,96.42515232,0,0,0,0
MAR,125351.1662,717.910689,407280.495,276136.4075,30.77760111,0.259984077,122.5552,481.694005,17.07109281,0.384275647
MCO,0.528888,283.522868,1.595194,284.22031,33.1550896,99.75461219,0,0,0,0
MDA,1409.67766,0,33963.76161,0,4.15053455,0,0,977.221645,0,69.32234742
MDG,33242.1381,8997.672125,594718.7259,1205824.849,5.589556314,0.746184003,2692.456,28442.54711,29.92391768,85.56172599
MDV,3.683705,474.933082,304.666095,922109.9914,1.209095814,0.051505036,0,0,0,0
MEX,284178.223,707942.1699,1965284.828,3284659.67,14.45990011,21.5529839,27060.13,50443.76209,3.822364474,17.75074866
MHL,33.593723,5388.396257,281.928035,2004587.264,11.91570856,0.268803277,0,0,0,0
MKD,2686.96127,0,25443.14057,0,10.56065096,0,0,2327.918061,0,86.63757409
MLI,103445.3359,0,1256684.114,0,8.231610053,0,0,96284.8915,0,93.07804037
MLT,97.945322,3495.870104,324.970466,55696.65564,30.13976107,6.276624806,0.114063,1.381179,0.003262793,1.410153106
MMR,42878.48876,11964.44587,673078.5676,514147.2175,6.370502765,2.327046702,45.37227,2470.118126,0.379225837,5.760739703
MNE,1456.773173,10.436511,13847.56188,7459.237226,10.52006978,0.139913917,0,360.163693,0,24.72338863
MNG,277375.263,0,1565864.159,0,17.71387775,0,0,191400.5021,0,69.00417147
MNP,38.441128,257249.9205,501.224059,773667.8566,7.669449882,33.25069257,2.717568,3.66404,0.001056392,9.531562133
MOZ,170662.332,12821.00808,791081.8731,574409.6185,21.5732831,2.232032276,1475.904,37856.48131,11.51160651,22.18209541
MRT,6507.878451,6487.581027,1046302.522,156197.8626,0.621988222,4.153437775,6487.581,6412.382649,99.99999958,98.53261239
MSR,11.182345,0.000273,100.664381,7628.258983,11.10854196,3.5788E-06,0,0,0,0
MTQ,1280.736358,47915.67266,1149.925062,47644.30608,100,100,0,0,0,0
MUS,97.460291,49.64392,2062.481937,1280068.317,4.725388827,0.003878224,3.781152,63.292144,7.616545994,64.94146832
MWI,27190.40931,0,118859.7323,0,22.87604791,0,0,14516.39618,0,53.38792815
MYS,63418.88193,6977.70038,331700.5726,451741.5382,19.11931638,1.544622265,488.8882,159.639473,7.00643727,0.251722308
MYT,44.436011,68829.33301,396.377408,63362.33751,11.2105307,100,0,0,0,0
NAM,313534.3569,9646.27499,827465.4339,562727.6243,37.89093104,1.714199654,243.8363,129581.956,2.527776787,41.3294279
NCL,10413.51706,1325070.398,19141.03171,1371803.153,54.40415763,96.59333378,15558.31,193.965358,1.174149692,1.862630626
NER,206090.4851,0,1190098.655,0,17.31709251,0,0,185159.7879,0,89.84392843
NFK,19.957518,189084.3131,42.778966,432638.0836,46.65264233,43.7049627,1.490433,0.437185,0.000788237,2.190578007
NGA,127359.0343,30.555979,914306.1122,182868.1867,13.92958361,0.016709292,0,14587.9616,0,11.45420242
NIC,48104.12745,6660.345162,129222.3127,223935.2389,37.22586791,2.974228261,15.24722,6264.978855,0.228925373,13.0237865
NIU,53.434436,36.900176,267.755527,318243.6931,19.95642689,0.011594943,0,0,0,0
NLD,3958.425269,17126.39853,35205.61182,64204.97933,11.24373378,26.67456435,0,0,0,0
NOR,55973.89254,7696.958098,325287.8156,926317.7348,17.20749744,0.830919868,100.4484,1144.665339,1.305040234,2.044998636
NPL,34897.91838,0,147709.5419,0,23.62604199,0,0,25086.47133,0,71.88529428
NZL,88464.44129,1249447.107,269651.6705,4106953.859,32.80693242,30.42272082,14582.23,26072.78157,1.167094623,29.47261203
OMN,7985.072834,663.989764,310373.1429,538980.1915,2.572733181,0.123193723,0,0,0,0
PAK,98288.08094,1707.397433,798143.6542,222743.9199,12.31458528,0.76652931,0,236.931869,0,0.241058597
PAN,15773.05873,5593.115449,75497.94621,332643.4965,20.89203683,1.681414339,4734.789,14868.06258,84.6538757,94.26239281
PCN,37.035971,839648.6171,45.589943,839478.9503,81.23715136,100.020211,4.251021,37.035971,0.000506286,100
PER,279619.5731,4036.819355,1298537.038,838329.5928,21.53343069,0.481531296,4030.95,183216.2726,99.85460447,65.52340758
PHL,45762.33428,21269.12928,298774.9046,1835028.192,15.31665932,1.159062808,1523.5,5807.692147,7.162963654,12.69098755
PLW,140.309346,504690.9119,501.101386,608152.4889,28.00019116,82.98756005,115.391,11.742839,0.022863697,8.36924933
PNG,14330.32953,4585.469187,467405.9203,2407381.818,3.065928118,0.19047536,4224.55,13748.05877,92.12906745,95.93679433
POL,123892.6648,7210.775928,311923.5191,31945.64308,39.71892379,22.57201682,7155.256,48405.35756,99.23004225,39.07039825
PRI,657.215588,3077.928815,9041.14294,176163.0606,7.269164887,1.747204439,0,0,0,0
PRK,2975.649808,25.611911,122186.1412,115967.2688,2.435341504,0.022085465,0,0,0,0
PRT,21114.4737,285578.3431,92141.09473,1724156.15,22.91537099,16.56336887,1009.1,10817.02969,0.353353125,51.23040168
PRY,57473.37524,0,401498.4235,0,14.31472003,0,0,9793.229867,0,17.03959412
PSE,516.767863,0,6181.987004,0,8.35925185,0,0,0,0,0
PYF,73.831954,206.943116,3780.061341,4795468.095,1.9531946,0.004315389,6.700816,8.888061,3.237998987,12.03823076
QAT,1512.836196,538.143058,11435.55274,31987.65323,13.22923544,1.682346167,0,0,0,0
REU,1600.443036,40.854528,2536.304619,316498.9308,63.10137292,0.012908267,0.88487,1064.426636,2.165904352,66.50824878
ROU,58224.53787,6865.607617,237452.8706,29726.44952,24.52046072,23.09595572,693.9092,11756.17288,10.1070326,20.19109694
RUS,1641400.741,228247.3371,16874835.52,7673314.113,9.726914016,2.974560062,181483.2,614316.0267,79.51163959,37.42632809
RWA,2319.729895,0,25452.13068,0,9.114089205,0,0,2216.080247,0,95.53182255
SAU,92063.63578,5495.452494,1934058.339,220338.2086,4.760127134,2.494098744,0,17931.57748,0,19.47737272
SDN,42697.53551,10661.95429,1871251.813,66785.64454,2.281763214,15.9644402,0,15953.71057,0,37.36447637
SEN,50179.21798,1766.175004,197923.9723,158426.4028,25.3527743,1.114823649,1634.797,11320.72925,92.56143906,22.56059323
SGP,33.585431,0.100552,604.646128,762.68502,5.55455984,0.013183948,0,32.273776,0,96.09457148
SGS,3971.692688,1065900.045,3971.692688,1445886.657,100,73.71947451,0,0,0,0
SHN,157.137807,453612.5594,434.343214,1647745.112,36.17825764,27.52929177,0,0,0,0
SJM,40092.18364,82714.05977,61261.11552,1081582.098,65.44474957,7.647506364,0,0,0,0
SLB,514.977904,1879.382668,29191.64527,1609756.547,1.764127712,0.116749497,519.2612,308.937747,27.62934919,59.99048592
SLE,6824.701851,862.533185,72709.02892,160452.5672,9.386319626,0.53756272,122.9547,2637.099469,14.25506892,38.64050806
SLV,1805.57217,664.798852,20573.30437,94238.04744,8.776286673,0.705446335,206.773,84.110066,31.10309222,4.65836079
SPM,7.163126,7.021851,237.589267,12367.3281,3.014919862,0.05677743,0,0,0,0
SRB,6687.228546,0,88509.11514,0,7.555412271,0,0,4074.584863,0,60.93084504
SSD,98214.48596,0,633580.4791,0,15.50150126,0,0,59270.90155,0,60.34843126
STP,289.416981,35.280222,989.259888,131709.1714,29.25590985,0.026786458,0,0,0,0
SUR,21425.69157,1980.928256,147558.4488,128362.9877,14.52013879,1.543223862,1980.333,20899.47606,99.96995065,97.54399756
SVK,18395.39989,0,48941.21743,0,37.58672313,0,0,10893.15729,0,59.21674633
SVN,10877.50335,396.970655,20308.54692,186.314047,53.56120946,100,0.405681,2453.498722,0.102194204,22.55571561
SWE,64033.65777,23604.86049,449390.1761,154980.4918,14.24901148,15.23085919,1079.942,10548.05225,4.575083172,16.47266863
SWZ,738.20711,0,17335.867,0,4.258264729,0,0,0,0,0
SXM,0.000136,43.282473,36.455424,497.533856,0.000373058,8.699402559,0,0,0,0
SYC,241.673419,209929.3831,486.864575,1340839.459,49.63873558,15.65656363,2435.292,167.222355,1.160052949,69.19352393
SYR,1292.567557,25.201794,188612.6151,10203.61673,0.685302813,0.246988834,0,110.229277,0,8.527931589
TCA,451.737848,149.820284,1018.174578,154242.1775,44.36742556,0.097133149,0,0,0,0
TCD,259841.8709,0,1276585.969,0,20.35443575,0,0,148803.0423,0,57.26676838
TGO,15876.86929,30.987414,57480.648,15520.93847,27.6212427,0.1996491,0,3778.47929,0,23.79864204
THA,97391.37501,5773.799574,517786.6125,306890.539,18.80917209,1.881387283,0,39157.93662,0,40.20678075
TJK,31690.1072,0,142244.2178,0,22.27866109,0,0,26003.31263,0,82.05498476
TKL,0.998313,9.510634,15.181307,321242.5226,6.575935787,0.002960578,0,0,0,0
TKM,15336.26559,2331.770078,472137.5437,77885.16348,3.248262248,2.993856562,1956.803,8680.141558,83.91920878,56.59879523
TLS,1959.473342,584.110567,15006.53549,42501.27223,13.05746648,1.374336664,0,0,0,0
TON,121.971897,10055.15988,766.502265,668054.6083,15.91279016,1.505140411,8.097808,42.045119,0.080533856,34.47115281
TTO,1594.834874,37.071977,5213.102096,75798.46305,30.59281872,0.048908613,0,0,0,0
TUN,12286.01772,1042.360893,155230.8391,100660.5035,7.914675845,1.035521239,225.0152,440.642829,21.58707234,3.586539096
TUR,1709.103181,270.18272,782238.8742,255925.9584,0.218488653,0.105570659,128.2527,798.750156,47.46887588,46.73504589
TUV,0.815638,62.087748,41.785977,731900.0274,1.951941916,0.008483091,0,0,0,0
TWN,7145.881111,3846.48539,36245.33119,342996.9472,19.71531471,1.121434293,0,0,0,0
TZA,361593.899,7330.445298,947252.6908,243129.5958,38.17290808,3.015036189,4069.645,118704.1099,55.51702297,32.82801792
UGA,39058.6568,0,243144.8535,0,16.06394552,0,0,16000.01107,0,40.96405862
UKR,23854.95209,4606.122845,598828.7966,134873.1664,3.983601361,3.41515141,130.0233,7084.633604,2.822836133,29.6987962
UMI,363.497911,1278997.392,363.495,1964384.514,100,65.10931964,2305.162,1.457914,0.180231955,0.401079059
URY,6150.088211,931.553409,178459.889,130097.9744,3.44620197,0.716039902,666.0387,1732.364584,71.4976397,28.1681258
USA,1233174.536,3527444.441,9490391.294,8591493.148,12.9939272,41.05740853,1537642,154799.9749,43.59082123,12.55296557
UZB,15200.69725,0,450362.5106,0,3.37521372,0,0,2345.749366,0,15.43185373
VCT,91.899504,80.359651,409.906569,36510.93366,22.41962217,0.220097497,50.38539,49.16401,62.69986165,53.49757927
VEN,496700.9958,16499.94342,917367.6523,473325.0963,54.14415851,3.485964202,7759.711,146352.8809,47.02871279,29.46498641
VGB,15.995538,3.314329,175.605042,80529.47601,9.108814769,0.004115672,0,0,0,0
VIR,51.815838,306.278747,375.62477,36030.25521,13.7945743,0.850059888,20.50122,39.564814,6.693647601,76.35660355
VNM,24994.31244,3630.264972,329880.371,647232.2216,7.576780747,0.560890643,716.1754,13486.51236,19.72790982,53.9583251
VUT,528.222229,47.509867,12575.12729,622073.2227,4.200531866,0.007637343,0.802327,30.02523,1.688758674,5.684204176
WLF,0.301679,0,180.605517,0,0.167037533,0,0,0,0,0
WSM,212.692968,114.846969,2893.945283,132305.5976,7.349584985,0.086804316,0,0,0,0
YEM,3519.593039,2562.368242,455938.919,548013.9807,0.77194398,0.467573517,1234.214,2874.019964,48.16692542,81.6577352
ZAF,101336.4951,186106.9994,1224384.577,1542559.897,8.276524958,12.0648151,2933.636,62220.48599,1.576316855,61.39987963
ZMB,286161.093,0,755640.3907,0,37.87001019,0,0,105470.4633,0,36.85702421
ZWE,106837.168,0,392573.2003,0,27.21458519,0,0,24348.5903,0,22.79037413
